"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"232","Wassup","@mcg817","https://yt3.ggpht.com/QoOotPDcaFwOmyiQ1vQCmnZdZTA8jbcmfYcXEqGOZSh6SVj9gTjqf3GsBfVnCl0T9T4XgqNs=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@mcg817","UCxSR6CDJb8mPQRWOriA3Q2w","0","1","2024-08-04T07:35:49Z","2024-08-04T07:35:49Z","UgyGCsB_S4VoDDac5Yl4AaABAg.A6hqFWAIZZhA6hrDM7qF7Z","UgyGCsB_S4VoDDac5Yl4AaABAg","jNQXAC9IVRw"
"233","​@@mcg817have no idea","@pomni-qz7pw","https://yt3.ggpht.com/ZyA5HTjXaBevAAdwToM5sJaEXjyvVK_culuD_I8KZi4tg_6Q5e8oToRVMh_v3Bk2BftUxgAwbA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@pomni-qz7pw","UCrbFLR9qkHUw03TSuVJ-BkA","0","0","2024-08-04T07:40:01Z","2024-08-04T07:40:01Z","UgyGCsB_S4VoDDac5Yl4AaABAg.A6hqFWAIZZhA6hrh4PhyWU","UgyGCsB_S4VoDDac5Yl4AaABAg","jNQXAC9IVRw"
"234","4/8/2024 10:45","@user-yf3ft3ys2h","https://yt3.ggpht.com/vRypfr9OS6bNRJh_uvVQ8hP_PfYnaofX0xFVrP9ZyCtKjQ3ZY-Ob3t2ySQz7_RsDeUPnSALr=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-yf3ft3ys2h","UCaC7zOZfzus-n2-L_P30e3g","0","0","2024-08-04T07:45:16Z","2024-08-04T07:45:16Z","UgyGCsB_S4VoDDac5Yl4AaABAg.A6hqFWAIZZhA6hsIbM2Xia","UgyGCsB_S4VoDDac5Yl4AaABAg","jNQXAC9IVRw"
"235","@@pomni-qz7pw of what?","@mcg817","https://yt3.ggpht.com/QoOotPDcaFwOmyiQ1vQCmnZdZTA8jbcmfYcXEqGOZSh6SVj9gTjqf3GsBfVnCl0T9T4XgqNs=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@mcg817","UCxSR6CDJb8mPQRWOriA3Q2w","0","0","2024-08-04T08:00:39Z","2024-08-04T08:00:39Z","UgyGCsB_S4VoDDac5Yl4AaABAg.A6hqFWAIZZhA6hu3HLwVWf","UgyGCsB_S4VoDDac5Yl4AaABAg","jNQXAC9IVRw"
"236","Я","@user-ts6dw9hl7l","https://yt3.ggpht.com/6TcNJlW_aJcj37PXmK3-arunCRldt0-QGJWj5od2dw4CAJtc7-nmRMGidqaDVMJajo03_sdR=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-ts6dw9hl7l","UCDu_0Ujrib9e3rRRSvFqvJA","0","0","2024-08-04T07:23:10Z","2024-08-04T07:23:10Z","Ugwt9gDLlUnvb3lhmt14AaABAg.A6hpSATB12gA6hplgLnlZE","Ugwt9gDLlUnvb3lhmt14AaABAg","jNQXAC9IVRw"
"237","Me","@thegoodddoctor","https://yt3.ggpht.com/lB9hD322Qd4wuLgUB-fHODi2CMjVVlL8YiKUy0YmCeQoi2HlXEHlLWpBJaU1QiPIbRD-2IScoZQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@thegoodddoctor","UC0AIWEZU2h_7oKrfsQ7Jz1Q","0","0","2024-08-04T06:44:15Z","2024-08-04T06:44:15Z","UgxqAbboTuZL96PU0K54AaABAg.A6hk4oLpz5hA6hlJatLK22","UgxqAbboTuZL96PU0K54AaABAg","jNQXAC9IVRw"
"238","Yooooo","@_Shaan_-el3df","https://yt3.ggpht.com/DtWOVzI5C3AG-X6YHAlUZ3PEX9R4CLUElQl-8zbPmXJLYhTPp-mhEGXXms3WHdb5hgL_UtkkJtU=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@_Shaan_-el3df","UCJ3HXpA93-9dYL5ohSMnjOg","0","1","2024-08-04T06:32:43Z","2024-08-04T06:32:43Z","UgwwRc07Nv9Dw5_8Vxl4AaABAg.A6hjcr6b_5lA6hk-9dfC2H","UgwwRc07Nv9Dw5_8Vxl4AaABAg","jNQXAC9IVRw"
"239","Me","@thegoodddoctor","https://yt3.ggpht.com/lB9hD322Qd4wuLgUB-fHODi2CMjVVlL8YiKUy0YmCeQoi2HlXEHlLWpBJaU1QiPIbRD-2IScoZQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@thegoodddoctor","UC0AIWEZU2h_7oKrfsQ7Jz1Q","0","0","2024-08-04T06:44:23Z","2024-08-04T06:44:23Z","UgwwRc07Nv9Dw5_8Vxl4AaABAg.A6hjcr6b_5lA6hlKa0yPBQ","UgwwRc07Nv9Dw5_8Vxl4AaABAg","jNQXAC9IVRw"
"240","@@_Shaan_-el3dfyoooo","@thegoodddoctor","https://yt3.ggpht.com/lB9hD322Qd4wuLgUB-fHODi2CMjVVlL8YiKUy0YmCeQoi2HlXEHlLWpBJaU1QiPIbRD-2IScoZQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@thegoodddoctor","UC0AIWEZU2h_7oKrfsQ7Jz1Q","0","0","2024-08-04T06:44:28Z","2024-08-04T06:44:28Z","UgwwRc07Nv9Dw5_8Vxl4AaABAg.A6hjcr6b_5lA6hlLEXKUNP","UgwwRc07Nv9Dw5_8Vxl4AaABAg","jNQXAC9IVRw"
"241","@@_Shaan_-el3df yoooooooo","@X_X-r5f","https://yt3.ggpht.com/cHfG-QgvF6GyL8aXRczvNBNoQ8Lp_JSgCDpqM1fBlsJJgcWCZGir5otnEIIzNPG_PcNXi9vmfiI=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@X_X-r5f","UCUTzpuFXVJU56CZzCak90Fw","0","0","2024-08-04T06:57:54Z","2024-08-04T06:57:54Z","UgwwRc07Nv9Dw5_8Vxl4AaABAg.A6hjcr6b_5lA6hmsh_mtkr","UgwwRc07Nv9Dw5_8Vxl4AaABAg","jNQXAC9IVRw"
"242","Yay","@thegoodddoctor","https://yt3.ggpht.com/lB9hD322Qd4wuLgUB-fHODi2CMjVVlL8YiKUy0YmCeQoi2HlXEHlLWpBJaU1QiPIbRD-2IScoZQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@thegoodddoctor","UC0AIWEZU2h_7oKrfsQ7Jz1Q","0","0","2024-08-04T06:44:37Z","2024-08-04T06:44:37Z","UgyH4YxzGc0kX-X89IR4AaABAg.A6hjJ-ssRjnA6hlMIsP93r","UgyH4YxzGc0kX-X89IR4AaABAg","jNQXAC9IVRw"
"243","Yas","@شمس-ك9ه","https://yt3.ggpht.com/ytc/AIdro_mgtmBZjTBr4Qbc-V0p7w26TbSmhVulQ_W53H1BuiKNpqdfSCiC_2R96QSJKysxgGI2mp0=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@%D8%B4%D9%85%D8%B3-%D9%839%D9%87","UCMFy0obYsPlJ0nGP1rEJbjg","0","0","2024-08-04T06:25:42Z","2024-08-04T06:25:42Z","UgzEW9a2pyEOTnz1Klx4AaABAg.A6hiWaBxMDHA6hjBrcKUe_","UgzEW9a2pyEOTnz1Klx4AaABAg","jNQXAC9IVRw"
"244","😅","@inzamul_official","https://yt3.ggpht.com/MdWbaOdWhhXzai-JWj689-rNYySJu4nldOCS-TjQjodtK7GwrBFR94XYDqR3l8kig7k07f2yNGc=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@inzamul_official","UCB4gfgp9HGYndTslnZVjiTg","0","0","2024-08-04T06:26:56Z","2024-08-04T06:26:56Z","UgzEW9a2pyEOTnz1Klx4AaABAg.A6hiWaBxMDHA6hjKpli1fp","UgzEW9a2pyEOTnz1Klx4AaABAg","jNQXAC9IVRw"
"245","Me neither","@ElianjoMars","https://yt3.ggpht.com/ytc/AIdro_kq6YXb49jimZm2YludLYcB7k8cNgTm_4PC3ukkjBS36lsG88gBf4yVReewSB8_5Sc-1A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ElianjoMars","UC7jbw4E0amowjeGr66VmCfQ","0","1","2024-08-04T06:03:37Z","2024-08-04T06:03:37Z","UgzTwyZr6xivcocEgPJ4AaABAg.A6hgBW16T3UA6hgf4h2Z0J","UgzTwyZr6xivcocEgPJ4AaABAg","jNQXAC9IVRw"
"246","Me","@lindalin6411","https://yt3.ggpht.com/SEfVyEp7pn2w80u25_tOHE08yyH5sAVMF5FOHkqVZrQYXS3Zedjojk6BLQFIO90LHfpl81o=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@lindalin6411","UCjX-fs7KsQXGPJXg-4oTBVw","0","0","2024-08-04T05:53:39Z","2024-08-04T05:53:39Z","Ugw3S7HKEZZ506XcTQp4AaABAg.A6hfPG9djJ9A6hfX51UVpn","Ugw3S7HKEZZ506XcTQp4AaABAg","jNQXAC9IVRw"
